Year,Africa,Asia,Australia,Central America,Europe,North America,Oceania,South America
990,3435,10698,15,554,30963,5212,2227,192
991,3503,10948,15,565,31306,5272,2265,196
992,3565,11208,15,576,31640,5341,2301,199
993,3625,11473,15,588,31968,5413,2335,203
994,3691,11739,16,599,32296,5482,2366,206
995,3766,12002,16,610,32627,5542,2395,210
996,3853,12265,16,620,32965,5592,2423,214
997,3951,12528,16,630,33303,5634,2449,217
998,4055,12785,16,640,33627,5671,2472,220
999,4160,13028,17,649,33917,5711,2493,224
000,4263,13253,17,658,34155,5759,2512,227
001,4361,13449,17,667,34340,5815,2527,231
002,4458,13624,17,675,34474,5878,2540,234
003,4553,13812,17,684,34572,5943,2551,237
004,4649,14062,18,693,34647,6008,2563,240
005,4749,14403,18,701,34716,6067,2575,244
006,4851,14853,18,710,34780,6119,2588,247
007,4955,15393,18,719,34839,6166,2602,250
