Year,Africa,Asia,Australia,Central America,Europe,North America,Oceania,South America
1990,102410,70664,6436,19369,75831,43007,18081,28714
1991,103288,70791,6287,19496,75547,42697,17740,29335
1992,103117,91094,6303,19655,105233,42680,17523,29799
1993,104391,90652,6256,19790,104861,42442,17547,29926
1994,104920,91568,6199,19781,104446,42278,18214,30258
1995,105266,92648,6260,19703,104325,42579,18040,30524
1996,105470,93126,6221,19641,105299,42566,18436,30752
1997,105885,93157,6251,19477,105339,43181,18703,30879
1998,106487,92719,6165,19910,106099,43177,18727,30855
1999,107182,93071,6216,19793,106622,43827,18444,31162
2000,107620,93318,6149,19941,110210,44493,18922,31508
2001,108327,93740,6189,20703,111319,44350,19216,31427
2002,108740,94964,6199,20832,112022,44654,19385,31079
2003,109596,96105,6274,20813,111664,44791,19466,31493
2004,110365,96810,6224,20723,112893,44784,19522,31482
2005,111440,97765,6286,20883,113199,44903,19623,31789
2006,112734,98003,6338,20986,118761,45056,19668,31735
2007,113689,98801,6386,21083,119001,45424,19728,31827
